File Name: not saved
Channel 2: 'Channel 2', 10810 values, raw ADC, no filters.
Channel 3: 'Channel 3', 10810 values, raw ADC, no filters.
Channel 4: 'Channel 4', 10810 values, raw ADC, no filters.

-100	-101	-34
-132	-145	-23
-156	-168	-35
-176	-165	-55
-186	-141	-48
-175	-97	-42
-127	-41	-26
-45	16	-35
54	71	-34
145	114	-13
204	143	-14
216	154	-9
198	145	-3
160	118	2
111	67	-17
56	1	-32
-16	-77	-24
-108	-147	-15
-208	-196	-11
-291	-215	-18
-329	-195	-48
-303	-143	-34
-214	-76	-13
-93	-7	-20
27	49	-35
125	88	-30
195	110	4
248	120	-17
291	124	-24
328	122	-24
329	106	-35
273	72	-10
139	18	-23
-53	-49	-32
-269	-113	-25
-443	-158	-18
-526	-171	-16
-500	-157	-30
-378	-118	-24
-202	-74	-24
-25	-29	-29
117	14	-25
209	59	-30
253	113	-31
265	165	-32
255	202	-30
228	207	-27
179	168	-23
109	92	-24
27	-4	-23
-57	-89	-12
-128	-144	-14
-173	-163	-9
-190	-153	3
-178	-127	-8
-141	-96	-15
-84	-60	-26
-5	-16	-44
87	38	-46
175	98	-42
240	149	-40
262	169	-34
234	156	-10
166	106	-1
75	41	-8
-13	-27	-7
-87	-86	-10
-144	-130	-16
-191	-161	-30
-232	-176	-31
-259	-179	-38
-259	-155	-47
-215	-109	-40
-120	-43	-29
11	31	-7
149	96	-5
260	142	-6
317	166	-8
314	170	-31
262	163	-48
187	147	-51
107	121	-36
33	77	-41
-38	13	-6
-113	-71	26
-191	-161	-6
-261	-235	-4
-300	-271	-10
-288	-253	-13
-223	-188	-20
-115	-90	-28
3	13	-22
103	96	-33
160	141	-22
172	152	-31
154	139	-23
121	116	-23
90	89	-28
54	58	-33
10	17	-32
-52	-41	-21
-127	-105	-30
-195	-158	-33
-236	-179	-30
-228	-159	-28
-169	-99	-35
-72	-21	-39
32	53	-21
125	106	-2
192	138	-14
232	156	-19
248	168	-9
249	177	-10
232	174	-23
191	157	-32
122	106	-42
26	31	-18
-84	-58	-3
-191	-144	-20
-271	-211	-24
-310	-246	-13
-298	-248	-7
-241	-219	-20
-149	-165	-20
-34	-93	-25
85	-13	-13
197	61	-25
283	123	-38
332	166	-37
323	185	-42
245	181	-28
106	150	-18
-77	93	12
-262	9	11
-407	-93	-12
-465	-192	-30
-425	-270	-34
-305	-296	-28
-150	-261	-25
-10	-173	-11
83	-51	-29
125	68	-33
145	166	-25
172	219	-38
225	235	-34
285	218	-35
328	182	-46
314	134	-39
234	78	-14
97	14	-14
-55	-51	-15
-189	-107	-15
-273	-140	-22
-305	-144	-30
-291	-118	-25
-240	-70	-23
-158	-14	-34
-52	34	-30
69	69	-45
184	84	-24
262	81	4
278	63	9
231	37	11
130	7	-2
14	-27	-4
-88	-59	-10
-154	-89	-26
-185	-113	-36
-191	-127	-32
-184	-131	-25
-169	-117	-28
-143	-87	-40
-102	-40	-27
-42	17	8
27	81	-11
99	139	-42
161	183	-45
212	200	-37
251	180	-28
270	127	-26
267	48	-34
226	-31	-28
141	-91	-15
17	-116	-40
-126	-106	-38
-264	-84	-7
-369	-69	-2
-410	-83	-16
-380	-115	-15
-279	-141	-6
-128	-131	-6
41	-68	-17
194	32	-45
297	134	-36
332	196	13
299	190	13
221	124	-17
123	31	-17
31	-46	-11
-42	-88	-13
-101	-93	-20
-152	-86	-25
-197	-88	-38
-228	-103	-40
-226	-117	-43
-180	-104	-49
-95	-52	-48
14	31	-52
114	119	-36
184	181	-25
216	203	-26
214	191	-37
192	165	-30
159	136	-16
117	113	-12
63	80	-2
-1	24	-8
-78	-54	-13
-150	-145	-19
-205	-222	-23
-229	-260	-18
-225	-251	-12
-191	-200	-24
-140	-127	-22
-76	-49	-16
-4	21	-24
67	82	-18
128	129	-13
169	162	-19
179	170	-29
162	150	-30
126	106	-20
83	43	-12
33	-23	-14
-21	-85	-17
-88	-127	-21
-159	-156	-32
-221	-161	-40
-245	-137	-43
-209	-86	-33
-114	-5	-26
22	90	-34
159	174	-45
254	225	-28
283	221	7
253	168	12
180	78	-4
91	-22	-17
4	-109	2
-72	-171	7
-144	-204	-26
-211	-219	-40
-259	-215	-40
-277	-196	-34
-250	-158	-34
-178	-98	-43
-75	-24	-31
37	56	-31
136	124	-25
207	174	-26
245	199	-23
254	202	-21
236	188	-38
194	158	-32
128	112	-23
49	47	-9
-31	-25	-6
-102	-101	-40
-150	-155	-47
-173	-173	-53
-170	-150	-45
-150	-92	14
-114	-21	10
-64	39	-5
-4	77	6
61	88	-7
119	80	-8
149	64	-15
139	51	-8
94	34	-17
25	11	-35
-40	-25	-37
-88	-71	-30
-105	-120	-35
-107	-156	-38
-112	-164	-35
-132	-145	-51
-165	-107	-37
-188	-62	-26
-178	-22	-8
-118	11	15
-14	38	-1
107	65	-16
211	94	-20
263	117	-22
262	120	-19
216	100	-28
152	59	-38
91	13	-23
39	-17	-25
-11	-22	-34
-68	-4	-32
-136	15	-33
-201	16	-24
-242	-8	-26
-233	-48	-36
-168	-80	-33
-55	-82	-27
77	-42	-15
190	18	-11
260	76	-16
271	103	-30
234	93	-20
163	54	-19
84	10	-30
14	-22	-21
-38	-37	-33
-75	-46	-52
-105	-57	-31
-140	-79	-4
-186	-101	-6
-235	-112	-1
-267	-99	-15
-262	-59	-10
-197	-5	9
-75	57	-14
84	113	-34
236	162	-38
332	194	-31
344	202	-42
276	173	-31
159	97	17
34	-19	12
-61	-154	-18
-129	-263	-7
-181	-317	-11
-241	-297	-9
-305	-223	-3
-345	-125	-33
-318	-40	-36
-195	11	-35
9	37	-48
236	59	-40
404	99	-48
454	158	-48
375	215	-27
221	244	-26
50	224	-31
-68	153	-28
-119	51	-14
-125	-47	-21
-129	-122	-31
-159	-164	-16
-204	-174	-15
-233	-167	-40
-206	-149	-37
-110	-114	-24
32	-59	-22
174	19	-11
274	106	-9
312	185	-12
297	227	-12
257	215	-4
216	162	-8
181	83	-35
132	13	-58
50	-29	-51
-80	-37	-34
-245	-34	-8
-403	-41	12
-506	-85	15
-508	-162	7
-403	-246	-20
-217	-301	1
-14	-287	-17
140	-199	-30
208	-56	-24
187	95	-28
123	199	-25
74	229	-40
80	185	-37
131	96	-52
183	7	-33
175	-47	-25
84	-57	-40
-72	-36	-28
-232	-7	-27
-318	6	-16
-288	-3	-1
-159	-27	-3
16	-48	-30
172	-51	-35
270	-29	-25
308	17	-20
302	75	-35
269	130	-37
216	165	-25
132	170	-13
17	140	-16
-112	76	-15
-218	-13	4
-274	-105	-14
-269	-183	-7
-231	-230	-16
-188	-237	-34
-168	-206	-30
-159	-151	-36
-133	-79	-39
-60	-4	-44
59	65	-27
198	122	-3
302	158	3
336	168	-25
287	149	-36
184	106	-13
72	48	-38
-14	-12	-59
-71	-64	-35
-108	-102	-30
-140	-122	-42
-170	-125	-25
-186	-104	-2
-173	-59	2
-125	5	-7
-58	82	-4
6	150	2
51	192	-14
75	193	-15
86	154	-14
95	84	-15
104	7	-21
97	-57	-38
62	-104	-10
-8	-132	-11
-96	-149	-39
-175	-157	-38
-206	-160	-21
-178	-147	-30
-95	-113	-57
17	-61	-57
118	3	-44
188	65	-42
216	120	-35
212	162	-31
188	200	-29
157	237	-2
121	265	-5
81	272	-7
22	233	-20
-57	137	-9
-152	-11	16
-248	-186	0
-316	-343	16
-337	-444	5
-299	-460	-4
-214	-395	-7
-110	-276	-30
-13	-136	-25
54	-8	-38
89	86	-38
103	142	-35
117	166	-36
141	165	-34
175	150	-30
200	119	-28
195	77	-28
151	25	-30
68	-29	-40
-28	-72	-40
-117	-97	-56
-175	-94	-67
-188	-63	-28
-153	-15	-6
-79	41	1
15	92	-2
107	126	-14
175	137	-3
201	122	8
180	85	14
120	32	0
35	-24	-19
-48	-71	-11
-115	-103	-2
-153	-119	-26
-159	-121	-43
-145	-117	-50
-122	-109	-72
-98	-92	-55
-76	-66	-35
-52	-27	-41
-21	22	-46
18	78	-38
60	130	-25
104	171	-15
138	196	-21
164	196	-32
175	171	-11
171	119	-9
138	43	-21
71	-41	-18
-32	-119	-17
-161	-164	-16
-285	-166	-8
-370	-124	-13
-378	-57	-22
-299	11	-29
-142	61	-1
43	80	3
214	74	-55
328	51	-53
363	25	-17
328	3	-17
249	-12	-26
154	-21	-18
65	-21	-6
-6	-20	-23
-57	-24	-40
-94	-46	-34
-121	-96	-27
-140	-164	-1
-157	-235	32
-170	-272	2
-180	-246	-23
-185	-152	-18
-173	-5	-17
-139	147	-23
-78	257	-36
11	298	-35
107	264	-44
200	194	-42
255	114	-45
253	51	-43
189	7	-28
75	-34	-15
-59	-79	-5
-173	-120	-11
-237	-137	-18
-239	-116	-27
-182	-56	-13
-88	15	-6
21	60	-8
126	55	-18
212	4	-33
262	-54	-48
262	-78	-39
198	-35	-8
79	60	-15
-64	156	-21
-186	197	-34
-239	142	-18
-206	11	-2
-111	-152	-8
-16	-272	-18
23	-309	-22
-22	-253	-13
-123	-140	-26
-211	-23	-25
-214	57	-37
-106	91	-42
80	95	-31
266	96	-25
373	113	-10
368	145	-19
266	169	-46
123	162	-48
-1	106	-28
-85	15	-22
-132	-90	-12
-173	-175	-16
-216	-214	-19
-251	-205	-27
-249	-158	-24
-189	-93	3
-81	-29	-22
44	27	-28
143	77	-28
190	128	-35
183	180	-26
148	222	-24
115	237	-12
103	209	-30
104	132	-18
95	23	-18
60	-92	-26
-4	-184	-37
-83	-231	-49
-149	-229	-34
-173	-179	-4
-148	-102	14
-75	-11	-30
24	81	-49
119	158	-47
191	205	-36
222	215	-30
211	182	-36
159	121	-25
80	49	-23
-24	-7	-6
-136	-41	9
-247	-56	20
-330	-75	21
-370	-117	17
-354	-186	12
-290	-270	-11
-201	-334	-19
-111	-354	-29
-40	-318	-46
10	-229	-45
55	-117	-34
110	-2	-31
182	95	-31
254	170	-33
299	224	-31
284	250	-34
212	243	-27
97	196	-21
-20	115	-41
-109	17	-44
-150	-64	-35
-143	-106	-10
-106	-92	0
-51	-36	-13
7	32	-15
63	83	-15
108	91	-14
132	62	-17
131	19	-24
101	-6	-35
56	6	-42
14	52	-43
-10	109	-36
-19	139	-30
-27	118	-26
-54	37	-20
-109	-77	-18
-186	-183	-12
-253	-246	-17
-285	-248	-15
-261	-198	-15
-187	-123	2
-82	-52	4
34	2	-28
139	41	-30
226	78	-31
287	118	-27
320	156	-10
314	169	-22
269	147	-28
187	86	-19
82	6	10
-23	-62	-5
-116	-95	-56
-187	-89	-43
-236	-58	-46
-261	-34	-44
-259	-36	-46
-221	-59	-42
-136	-83	-32
-19	-74	-38
105	-20	-17
198	70	-22
234	168	-5
203	228	1
134	227	-25
59	162	-36
3	60	-45
-30	-54	-43
-55	-145	-8
-92	-198	13
-139	-207	-4
-178	-170	-3
-177	-94	-30
-115	4	-38
-1	99	-32
130	161	-41
236	161	-23
284	96	-25
277	-1	-18
226	-89	-27
151	-119	-24
66	-84	-19
-32	-8	-28
-139	53	-8
-240	57	10
-305	-4	9
-315	-104	-18
-269	-186	-11
-198	-214	-2
-139	-187	-28
-119	-133	-29
-123	-96	-2
-110	-88	-28
-43	-90	-44
82	-57	-40
228	36	-46
320	189	-23
306	336	-20
191	408	-10
24	360	-4
-114	200	-28
-168	-8	-34
-138	-179	-30
-67	-253	-27
-18	-222	-43
-20	-129	-40
-60	-33	-12
-92	26	-25
-72	50	-17
7	62	-17
121	86	-20
216	123	-16
266	150	-25
258	135	-12
211	68	-20
144	-28	-9
72	-120	3
-10	-171	-28
-105	-174	-36
-205	-148	-20
-288	-122	-26
-330	-117	-25
-314	-121	-8
-241	-114	-7
-128	-75	-18
5	3	-37
141	89	-38
262	154	-34
346	171	-24
373	150	-20
326	106	-20
214	69	-10
78	47	-20
-37	26	-13
-95	-8	-4
-102	-66	-22
-94	-131	-25
-115	-173	-27
-187	-161	-36
-280	-94	-55
-336	4	-42
-290	92	-30
-129	135	-44
100	135	-32
309	112	-33
407	98	-41
363	113	-25
211	147	-9
28	166	-4
-112	135	-13
-170	45	-18
-166	-83	-32
-141	-214	-30
-143	-304	-27
-176	-332	-31
-214	-301	-13
-214	-230	-2
-149	-139	-1
-26	-42	-23
114	56	-16
223	150	0
266	222	-18
241	251	-17
167	225	-18
85	150	-15
18	57	-16
-21	-13	-30
-45	-31	-20
-76	-4	-6
-128	39	-27
-197	51	-49
-262	3	-19
-289	-95	-22
-249	-203	-44
-136	-261	-40
25	-233	-42
189	-123	-36
306	30	-16
342	160	-18
301	223	-34
214	201	-24
123	115	-7
54	7	-7
10	-84	-2
-31	-136	4
-94	-155	-4
-177	-155	-6
-260	-148	-16
-305	-136	-20
-276	-112	-21
-174	-61	-10
-24	15	-15
120	102	-34
216	171	-33
242	197	-37
207	166	-30
141	94	-31
82	16	-24
42	-32	-36
25	-35	-36
14	-5	-22
-8	24	-30
-50	20	-43
-107	-28	-52
-156	-102	-32
-174	-160	-24
-141	-167	-28
-62	-112	-22
43	-20	-14
139	71	-11
190	126	-20
178	135	-26
113	121	-34
32	102	-26
-29	92	-12
-45	81	-21
-27	52	-19
-7	-4	-15
-20	-77	-22
-78	-136	-13
-163	-157	-21
-232	-126	-29
-247	-65	-32
-191	-2	-28
-89	38	-19
26	56	-24
115	68	-14
167	90	-8
193	124	-9
210	154	-17
226	157	-27
228	117	-20
191	43	-25
106	-41	-17
-16	-118	-11
-137	-176	-23
-222	-222	-33
-246	-249	-31
-222	-259	-12
-181	-229	-23
-150	-145	-49
-129	-16	-47
-97	126	-30
-21	233	-5
102	276	9
242	249	-12
340	174	-18
342	99	-24
231	36	-31
44	-11	-21
-142	-66	-38
-259	-137	-19
-269	-216	-7
-191	-274	-2
-84	-274	18
-4	-214	-10
17	-115	-21
-8	-24	-22
-34	28	-35
-21	44	-47
45	60	-54
143	117	-51
223	218	-32
237	330	-35
167	386	-44
32	333	-17
-123	171	-15
-245	-43	-32
-296	-226	-40
-272	-301	-23
-199	-257	-17
-114	-137	-25
-50	-25	-29
-20	15	-8
-8	-31	-1
5	-117	-6
40	-175	-6
103	-151	-30
175	-42	-19
240	101	-11
266	209	-12
251	233	0
196	166	4
123	45	-20
42	-69	-42
-32	-139	-25
-105	-151	-30
-168	-121	-23
-215	-81	-10
-241	-46	-26
-229	-23	-36
-180	0	-36
-99	31	-41
-5	69	-36
86	110	-26
160	138	-23
204	150	-16
216	145	-36
195	130	-33
139	105	-33
48	61	-33
-60	1	-20
-172	-79	-2
-258	-163	8
-298	-230	-25
-277	-260	-19
