File Name: not saved
Channel 2: 'Channel 2', 31930 values, raw ADC, no filters.
Channel 3: 'Channel 3', 31930 values, raw ADC, no filters.
Channel 4: 'Channel 4', 31930 values, raw ADC, no filters.

69	8	-20
184	-43	-8
227	-99	-4
192	-98	9
116	-14	16
62	131	1
67	262	-12
124	310	-30
182	237	-56
175	77	-62
82	-83	-51
-79	-166	-39
-242	-139	-12
-342	-41	14
-339	52	23
-240	75	4
-89	15	-26
67	-75	-36
191	-116	-46
278	-48	-39
326	121	-35
342	330	-58
326	483	-67
271	517	-62
182	408	-46
75	196	-25
-28	-51	-11
-111	-275	8
-169	-434	26
-209	-510	22
-241	-506	13
-272	-432	1
-291	-311	-26
-291	-173	-55
-263	-65	-74
-212	-22	-67
-152	-47	-34
-88	-116	-10
-24	-170	-10
44	-164	-8
121	-71	-4
190	82	-7
226	244	-8
198	362	-12
101	403	4
-43	372	31
-183	295	15
-260	202	-9
-229	106	-24
-93	12	-40
100	-83	-58
276	-173	-72
371	-238	-72
351	-263	-57
230	-236	-27
51	-169	-12
-130	-87	-25
-264	-17	-37
-329	18	-42
-315	17	-42
-236	-13	-21
-118	-52	-13
16	-86	-8
135	-90	-7
221	-58	-16
249	6	-19
215	93	-3
127	171	10
5	215	6
-121	208	-3
-221	157	-14
-259	91	-20
-225	43	-25
-126	39	-26
8	70	-32
125	113	-20
182	134	7
151	119	12
48	74	-12
-83	23	-43
-181	-10	-51
-208	-28	-67
-154	-53	-97
-54	-115	-83
40	-222	-32
89	-345	-6
84	-438	3
44	-446	0
8	-354	0
6	-183	-8
47	12	-23
124	178	-32
211	283	-38
283	324	-35
324	321	-30
321	283	-24
271	221	-24
180	121	-18
63	0	-8
-53	-117	-14
-137	-183	-13
-174	-163	-15
-163	-62	-31
-127	72	-39
-99	181	-40
-98	211	-23
-120	158	-18
-143	63	-23
-142	-16	-6
-101	-49	-3
-33	-43	-33
32	-38	-38
67	-74	-9
68	-153	-1
59	-235	7
79	-263	0
155	-207	-30
269	-87	-45
373	26	-40
380	66	-24
222	3	-20
-111	-131	-27
-545	-248	-38
-934	-270	-39
-1131	-170	-29
-1039	2	-17
-676	157	-6
-152	210	-15
351	140	-20
669	-1	-21
717	-124	-20
539	-148	-1
266	-49	4
46	123	-6
-30	294	-20
30	388	-46
151	388	-58
237	317	-52
226	227	-46
124	145	-32
-14	84	-15
-126	22	-5
-180	-53	0
-162	-131	-3
-88	-185	1
26	-187	6
162	-139	-4
280	-71	-5
339	-30	-14
280	-43	-24
103	-99	-40
-153	-161	-56
-388	-177	-56
-500	-130	-41
-436	-36	-4
-236	57	15
-1	108	-8
154	103	-22
175	58	-22
105	15	-34
21	-2	-49
0	7	-54
46	19	-48
105	1	-27
97	-55	3
-4	-136	-6
-151	-200	-26
-256	-214	-27
-243	-167	-27
-115	-70	-31
61	38	-24
192	132	-15
216	194	-13
155	228	-20
79	239	-28
50	236	-33
89	213	-39
150	165	-27
170	90	-22
123	1	-21
26	-79	-4
-61	-127	-7
-100	-136	-14
-84	-115	-34
-53	-89	-58
-55	-79	-55
-99	-95	-53
-157	-124	-30
-178	-140	-5
-143	-124	13
-68	-64	19
-1	16	-24
27	92	-40
16	130	-24
-3	120	-18
8	69	-12
46	4	-22
79	-48	-35
61	-81	-30
-6	-97	-26
-79	-117	-17
-85	-155	0
12	-204	1
167	-243	-15
266	-238	-30
188	-178	-30
-99	-72	-21
-503	33	-21
-838	100	-15
-923	109	-3
-702	76	-15
-262	48	-23
188	68	-15
446	153	-20
422	267	-27
211	354	-26
5	364	-21
-14	279	-12
201	135	1
541	-16	-3
800	-115	-5
800	-145	-15
522	-121	-24
82	-79	-19
-296	-46	-20
-442	-29	-18
-325	-14	-37
-55	14	-56
180	55	-56
248	94	-77
133	103	-96
-48	67	-76
-157	-6	-31
-107	-101	-6
62	-183	-4
226	-237	-21
245	-253	-38
69	-242	-29
-225	-209	-10
-484	-160	-9
-564	-97	-13
-424	-25	-2
-145	45	-18
112	105	-21
210	137	-3
102	142	5
-134	129	10
-345	110	1
-397	95	-2
-245	83	-13
47	68	-13
355	41	1
558	13	-7
583	-4	-12
462	10	-22
266	64	-38
87	147	-38
-25	225	-41
-59	260	-43
-41	231	-48
-4	141	-41
22	23	-17
20	-84	-19
-19	-149	-24
-98	-163	-30
-203	-148	-45
-308	-130	-62
-372	-131	-72
-361	-160	-53
-260	-199	-27
-87	-231	-5
107	-237	16
269	-208	26
352	-148	8
344	-56	3
258	50	7
123	163	-21
-31	254	-43
-185	299	-33
-321	270	-10
-428	166	-16
-481	3	-31
-473	-177	-30
-402	-322	-34
-291	-394	-39
-173	-389	-37
-76	-312	-31
-1	-201	-34
78	-84	-35
192	21	-12
363	117	6
562	201	10
723	272	2
769	313	-1
648	308	9
383	252	-6
52	160	-25
-229	66	-45
-375	6	-66
-350	-6	-65
-206	17	-52
-34	43	-51
66	39	-59
44	-9	-53
-83	-83	-30
-248	-145	5
-366	-162	20
-389	-123	38
-306	-45	43
-152	37	40
20	93	26
164	104	-5
260	74	-25
306	22	-66
302	-28	-112
245	-60	-115
119	-61	-79
-68	-37	-35
-289	9	-6
-473	51	3
-550	65	-19
-481	34	-40
-291	-44	-36
-46	-145	-39
161	-232	-21
266	-264	-16
262	-240	-20
191	-171	-13
107	-103	-8
53	-70	-2
31	-76	-6
14	-94	-5
-12	-81	-9
-37	-12	-19
-30	106	-27
33	228	-27
135	299	-20
226	294	-28
245	219	-32
179	128	-23
60	70	-17
-32	76	-18
-29	129	-21
81	183	-34
242	191	-37
357	126	-35
351	9	-11
214	-121	7
-4	-211	-4
-223	-233	-27
-375	-194	-16
-432	-122	-7
-409	-53	-10
-321	-12	-2
-189	-5	-30
-7	-25	-39
209	-53	-40
413	-82	-39
534	-94	-43
498	-89	-51
291	-56	-51
-40	-5	-40
-392	57	-16
-644	117	3
-717	149	24
-610	141	26
-366	98	14
-71	40	10
189	-3	2
373	-6	-30
467	33	-34
473	100	-42
407	164	-60
283	192	-49
115	169	-47
-81	100	-45
-276	3	-42
-435	-92	-25
-524	-165	-1
-523	-203	17
-431	-207	46
-274	-174	49
-100	-113	28
41	-36	-19
119	40	-67
138	86	-109
135	82	-147
163	14	-141
248	-100	-90
373	-225	-25
470	-311	5
469	-320	9
326	-248	-3
74	-118	-17
-202	20	-23
-394	117	-22
-439	144	-10
-341	104	-5
-167	32	8
-10	-36	8
68	-67	-3
66	-57	-14
30	-18	-30
16	30	-24
46	68	-20
107	102	-10
151	138	-5
145	189	3
93	244	1
32	279	-19
11	265	-16
48	174	-10
128	27	-8
200	-138	-6
222	-256	-23
183	-282	-30
110	-218	-21
51	-104	-37
32	-8	-56
38	19	-59
16	-29	-58
-87	-108	-46
-282	-151	-19
-525	-103	-7
-724	33	-11
-787	200	0
-676	324	6
-433	340	-17
-150	241	-40
78	72	-57
207	-92	-62
253	-196	-34
280	-224	-3
340	-190	7
432	-140	11
506	-93	6
501	-53	-5
386	2	-13
201	82	-16
41	180	-31
-1	267	-21
100	301	14
280	261	22
415	154	15
383	10	-24
137	-131	-74
-258	-240	-112
-676	-301	-115
-986	-321	-76
-1095	-308	-41
-1000	-270	-32
-740	-206	-17
-378	-114	-8
32	0	-8
436	123	-12
775	236	-12
967	313	-9
947	330	-20
701	283	-17
312	180	-20
-78	41	-21
-321	-98	-24
-353	-208	-26
-214	-265	-11
-24	-279	2
92	-261	13
94	-233	10
34	-206	11
16	-168	12
99	-102	-16
251	6	-53
363	137	-43
333	254	-38
135	310	-64
-137	277	-78
-337	177	-87
-357	64	-79
-208	2	-46
-7	14	-5
101	85	10
40	154	12
-145	158	14
-335	77	6
-403	-64	5
-319	-204	-12
-159	-286	-16
-42	-289	-7
-57	-241	4
-199	-187	-3
-388	-158	-4
-516	-145	-4
-516	-111	-27
-383	-17	-12
-158	144	-5
112	329	-15
391	461	-40
642	483	-56
818	374	-27
839	181	-35
671	-31	-43
336	-180	-21
-55	-230	-28
-350	-189	-45
-428	-101	-51
-277	-15	-57
-4	38	-63
231	51	-56
300	40	-30
184	25	-13
-15	12	3
-162	6	20
-176	-1	13
-69	-8	6
