File Name: not saved
Channel 2: 'Channel 2', 11170 values, raw ADC, no filters.
Channel 3: 'Channel 3', 11170 values, raw ADC, no filters.
Channel 4: 'Channel 4', 11170 values, raw ADC, no filters.

216	201	-16
216	210	-17
192	186	-20
137	131	-20
65	57	-7
-16	-24	-8
-99	-102	-10
-168	-161	-5
-214	-196	-20
-231	-206	-44
-213	-190	-54
-165	-153	-66
-95	-97	-57
-10	-28	-40
74	48	-49
145	120	-36
196	178	-24
216	208	3
207	206	32
169	170	37
107	108	40
32	35	25
-46	-43	14
-118	-110	29
-174	-163	8
-208	-192	-37
-214	-198	-62
-191	-181	-94
-140	-139	-83
-67	-79	-60
16	-5	-48
99	68	-46
169	134	-36
210	181	-11
219	201	6
198	191	-5
148	153	-23
80	92	-9
1	18	-24
-78	-57	-26
-147	-125	-25
-199	-175	-22
-228	-200	-13
-226	-198	-9
-189	-169	0
-124	-117	-12
-37	-49	-17
56	27	-12
139	100	11
201	161	9
229	199	-20
226	211	-37
191	193	-34
135	147	-26
61	78	-19
-20	-1	-3
-102	-82	-15
-173	-152	-24
-223	-196	-37
-242	-213	-57
-225	-194	-55
-173	-150	-60
-95	-85	-85
-4	-11	-151
84	58	-161
154	116	-78
200	156	-24
216	174	-24
202	170	-2
163	142	29
102	95	32
27	31	34
-53	-38	26
-127	-107	36
-188	-163	29
-223	-198	28
-228	-208	21
-200	-190	-23
-141	-148	-9
-61	-82	-8
29	-4	-9
114	79	-6
181	152	-22
219	203	-32
226	225	-62
201	213	-51
151	174	-51
82	110	-59
2	35	-36
-78	-42	-7
-151	-113	-40
-206	-172	-40
-236	-210	-4
-232	-222	-12
-193	-204	-1
-126	-155	2
-43	-88	14
45	-7	8
127	71	3
188	138	-13
222	186	-36
225	206	-25
198	199	-24
143	162	-49
69	102	-84
-15	27	-79
-97	-51	-97
-166	-123	-78
-212	-179	-30
-231	-209	-34
-217	-215	-11
-175	-195	-3
-109	-151	-5
-28	-85	0
58	-1	-5
139	87	-8
202	166	-12
234	219	-11
231	235	-13
190	206	-9
122	143	-8
37	58	-7
-49	-28	-9
-129	-104	-14
-188	-160	-32
-224	-192	-34
-231	-202	-28
-206	-188	-32
-152	-148	-23
-72	-86	-33
18	-8	-34
109	76	-27
181	150	-26
225	202	-35
230	221	-31
204	206	-23
149	161	-28
77	93	-5
-4	15	4
-83	-64	3
-153	-134	-11
-206	-186	-11
-233	-214	-21
-227	-213	-30
-187	-184	-8
-118	-131	-10
-30	-59	-17
61	20	-35
143	97	-16
202	161	-3
230	200	-17
228	211	-18
194	190	-35
136	141	-58
61	69	-41
-20	-10	-41
-103	-88	-35
-173	-153	-19
-221	-194	-24
-239	-211	-18
-223	-198	-24
-174	-162	-19
-96	-103	-27
-7	-30	-27
84	45	-32
159	116	-40
209	170	-32
226	202	-37
211	203	-39
171	174	-40
107	122	-29
32	50	-12
-49	-30	3
-124	-108	8
-187	-173	-1
-225	-213	-7
-233	-222	1
-206	-196	2
-148	-145	-5
-66	-71	-5
24	8	-21
110	85	-37
179	145	-47
219	187	-51
230	203	-53
205	194	-57
155	158	-48
82	100	-38
-1	26	-15
-86	-54	-2
-160	-127	3
-212	-186	-1
-236	-214	-3
-228	-210	1
-188	-177	-1
-122	-119	-11
-39	-47	-19
49	29	-23
131	101	-29
192	159	-25
228	195	-26
228	205	-22
198	187	-19
141	139	-18
67	74	-25
-14	-4	-33
-94	-82	-28
-165	-149	-32
-214	-195	-35
-237	-214	-48
-228	-203	-57
-184	-166	-39
-111	-106	-25
-20	-30	-38
75	50	-44
156	122	-27
209	179	-9
228	205	-1
211	205	0
167	171	-9
103	114	-3
27	41	-15
-49	-38	-31
-124	-111	-31
-184	-168	-48
-226	-200	-51
-235	-207	-16
-212	-182	-4
-156	-135	-36
-72	-71	-39
20	-1	-50
109	69	-24
175	131	10
214	175	-11
219	201	-27
196	197	-23
148	166	-5
86	106	8
13	27	5
-60	-60	-26
-130	-143	-16
-191	-202	-9
-226	-231	-12
-229	-222	-12
-194	-179	-38
-127	-116	-36
-39	-41	-29
54	33	-28
135	101	-26
190	154	-28
210	190	-34
199	206	-39
165	194	-45
116	157	-45
57	89	-45
-5	8	-44
-67	-78	-30
-128	-154	-10
-178	-206	5
-209	-229	2
-209	-216	-3
-173	-177	-5
-102	-112	-16
-10	-35	-22
88	45	-21
170	120	-21
221	174	-33
234	205	-62
208	205	-55
158	177	-35
87	122	-24
11	51	-20
-69	-25	6
-143	-101	29
-203	-163	30
-236	-203	32
-234	-215	-1
-191	-196	-21
-120	-151	-24
-32	-84	-18
55	-6	8
124	72	-10
172	140	-34
195	189	-54
199	210	-57
184	203	-48
151	166	-45
93	104	-28
13	25	-7
-79	-61	13
-167	-138	-3
-229	-194	-13
-253	-218	-17
-232	-208	-38
-177	-170	-51
-102	-109	-40
-22	-38	-34
52	33	-10
119	96	10
170	145	5
202	178	32
209	191	35
186	181	-11
132	147	-71
58	90	-88
-26	18	-51
-104	-57	-43
-165	-127	-48
-202	-180	-35
-215	-205	-40
-203	-202	-35
-167	-171	-47
-107	-114	-70
-25	-42	-72
63	35	-51
145	106	7
205	160	38
229	190	37
214	194	26
169	171	-20
104	132	-53
32	80	-2
-36	19	-40
-102	-45	-169
-156	-111	-112
-197	-168	-54
-216	-212	-105
-207	-233	-44
-167	-225	35
-97	-182	37
-11	-111	8
79	-19	-18
156	78	-19
209	162	-5
231	215	21
218	229	24
175	197	-1
107	126	-30
20	33	-23
-68	-61	-8
-150	-137	-12
-208	-182	-11
-234	-192	19
-226	-174	51
-184	-133	72
-118	-81	81
-35	-17	8
50	51	-135
131	120	-129
196	179	-1
234	218	-24
236	222	-170
202	186	-206
137	115	-38
54	24	-23
-34	-64	-42
-117	-137	-9
-182	-183	-41
-223	-202	-28
-235	-201	-43
-221	-184	23
-176	-153	31
-107	-105	29
-21	-41	22
70	37	-15
154	116	7
212	181	-10
238	218	-8
229	221	-23
186	189	-35
119	129	-34
37	55	-25
-49	-24	-20
-128	-95	5
-191	-154	32
-231	-195	16
-237	-207	-6
-209	-192	-21
-148	-148	-31
-63	-81	-39
28	-2	-27
112	76	-17
179	139	-5
216	183	-20
226	200	-33
202	191	-40
154	154	-62
85	96	-32
5	26	-45
-79	-48	-40
-155	-115	1
-210	-169	-12
