File Name: not saved
Channel 2: 'Channel 2', 30510 values, raw ADC, no filters.
Channel 3: 'Channel 3', 30510 values, raw ADC, no filters.
Channel 4: 'Channel 4', 30510 values, raw ADC, no filters.

-43	25	-9
-20	71	57
4	121	85
25	155	44
43	157	1
62	109	6
78	19	94
85	-79	139
75	-142	191
42	-135	103
-6	-64	-41
-56	26	-107
-89	72	-257
-94	30	-270
-68	-93	-106
-28	-238	19
8	-322	52
26	-288	13
26	-139	-67
19	57	-61
17	208	-37
29	253	-9
49	190	68
66	71	119
62	-25	138
35	-50	104
-8	-12	46
-51	41	-45
-76	60	-109
-79	20	-74
-62	-50	-67
-45	-103	-131
-31	-99	-184
-24	-40	-149
-20	38	-48
-8	93	-35
11	95	-23
36	63	-45
57	27	-42
65	21	40
55	49	78
32	85	71
6	98	45
-18	64	12
-36	-2	-11
-45	-76	-9
-47	-121	-57
-46	-129	-62
-40	-110	13
-32	-82	137
-20	-60	115
-5	-42	-51
11	-18	-88
26	22	-51
40	67	-80
51	103	-141
56	106	-109
52	77	-132
35	28	-194
8	-21	-174
-24	-51	-81
-53	-61	52
-71	-64	62
-78	-70	113
-68	-85	130
-52	-92	35
-32	-81	-55
-11	-40	-149
10	18	-89
31	74	6
49	108	31
60	114	66
63	103	-14
53	85	-111
35	71	-38
14	56	-32
-6	23	-61
-24	-28	-50
-41	-85	-5
-56	-118	110
-71	-105	119
-83	-43	51
-81	32	-1
-59	74	-80
-19	49	-192
32	-41	-158
80	-147	-6
107	-204	68
106	-169	143
81	-45	117
44	103	63
10	202	36
-11	197	-62
-18	92	-154
-20	-56	-133
-25	-174	13
-37	-210	-13
-54	-162	15
-66	-72	-17
-63	3	-131
-46	35	-105
-15	30	-132
17	22	-60
44	38	-42
59	82	-24
63	130	-35
58	150	-6
46	122	101
31	60	52
7	-7	-7
-21	-51	-38
-49	-61	-67
-68	-53	-97
-79	-48	-68
-72	-55	-52
-59	-72	-100
-40	-77	-10
-21	-47	53
-3	11	45
16	84	37
33	138	-34
52	153	57
66	121	99
71	59	-22
65	-6	16
44	-55	22
17	-81	-63
-14	-84	-81
-43	-78	-143
-65	-72	-116
-76	-74	-21
-75	-78	-2
-61	-77	-4
-41	-64	-125
-16	-38	-188
8	2	-97
28	50	-11
41	98	19
48	131	103
48	137	109
44	114	65
36	62	12
24	-2	-91
5	-68	-40
-15	-115	-6
-37	-133	-36
-54	-125	-12
-64	-97	16
-63	-62	52
-52	-29	21
-34	-4	-63
-10	14	-78
18	34	-9
40	55	53
55	82	69
61	103	108
56	114	106
42	104	-65
25	74	-268
6	24	-334
-11	-34	-172
-27	-87	8
-41	-126	117
-52	-142	186
-59	-136	46
-59	-107	-64
-49	-61	-154
-30	-9	-186
-8	50	-39
14	109	32
29	165	7
36	208	-29
37	224	-84
36	194	-68
38	105	-107
40	-29	-116
39	-180	113
28	-296	140
4	-337	87
-31	-288	30
-64	-173	-32
-82	-40	-75
-78	54	-54
-48	86	77
-12	68	-76
21	41	-145
39	46	-29
41	88	-19
38	137	-171
36	150	-176
43	96	-14
51	-11	-1
50	-123	-36
